Rk,Team,G,Pts/G,TotPts,Scrm Plys,Yds/G,Yds/P,1st/G,3rd Md,3rd Att,3rd Pct,4th Md,4th Att,4th Pct,Pen,Pen Yds,ToP/G,FUM,Lost,TO
1,New Orleans Saints,16,25.8,413,1075,391.5,5.8,20.6,105,234,45,12,20,60,79,597,1.328472222,23,10,-4
2,Philadelphia Eagles,16,24.9,398,988,381.4,6.2,19.5,88,209,42,5,11,46,112,983,1.207638889,26,15,5
3,Indianapolis Colts,16,26.7,427,1011,379.4,6,23.5,105,187,56,0,4,0,86,718,1.230555556,13,10,7
4,San Diego Chargers,16,30.8,492,1016,365,5.7,20.1,92,213,43,6,11,54,90,791,1.31875,19,6,13
5,Dallas Cowboys,16,26.6,425,1015,360.8,5.7,21,100,205,49,9,19,47,100,939,1.293055556,21,9,1
6,St. Louis Rams,16,22.9,367,1065,360.4,5.4,20.8,83,222,37,12,18,67,116,960,1.305555556,20,10,14
7,Pittsburgh Steelers,16,22.1,353,1041,357.8,5.5,20.4,93,217,43,10,21,48,69,611,1.311805556,27,14,-8
8,Cincinnati Bengals,16,23.3,373,994,341.4,5.5,19.6,72,201,36,6,9,67,92,717,1.191666667,25,11,7
9,Green Bay Packers,16,18.8,301,1085,341.1,5,18.8,94,240,39,7,17,41,90,689,1.28125,25,15,0
10,Jacksonville Jaguars,16,23.2,371,989,338.9,5.5,18.3,85,217,39,7,14,50,97,806,1.343055556,16,9,1
11,New England Patriots,16,24.1,385,1055,335.6,5.1,20.6,96,226,42,16,20,80,98,940,1.315972222,27,15,8
12,Atlanta Falcons,16,18.2,292,1000,331.9,5.3,17.9,79,220,36,8,20,40,96,877,1.250694444,18,5,6
13,Washington Redskins,16,19.2,307,979,327.7,5.4,18.4,79,211,37,6,13,46,106,951,1.260416667,20,7,-5
14,New York Giants,16,22.2,355,1003,325.9,5.2,19,77,203,38,7,15,47,101,881,1.247916667,23,10,0
15,Chicago Bears,16,26.7,427,1042,324.9,5,18.8,85,231,37,9,13,69,112,923,1.288888889,26,14,8
16,Kansas City Chiefs,16,20.7,331,1004,321.4,5.1,19.4,89,219,41,9,15,60,76,577,1.270833333,25,14,4
17,Baltimore Ravens,16,22.1,353,1017,317,5,17.6,96,233,41,8,11,73,109,878,1.366666667,21,9,17
18,Arizona Cardinals,16,19.6,314,999,312.5,5,18.6,83,212,39,10,15,67,117,937,1.249305556,31,13,3
19,Seattle Seahawks,16,20.9,335,1045,311.1,4.8,19.5,85,224,38,2,8,25,94,700,1.241666667,21,12,-8
20,Miami Dolphins,16,16.2,260,1034,310,4.8,17.6,88,234,38,7,14,50,90,789,1.250694444,19,6,2
21,Denver Broncos,16,19.9,319,973,309.4,5.1,17.8,78,211,37,7,13,54,67,478,1.266666667,29,12,0
22,Detroit Lions,16,19.1,305,963,309.3,5.1,18.1,62,190,33,9,22,41,116,939,1.153472222,26,17,-9
23,Minnesota Vikings,16,17.6,282,1025,308.9,4.8,17,77,233,33,15,21,71,123,903,1.327777778,31,12,4
24,Carolina Panthers,16,16.9,270,994,307.7,5,17.4,65,209,31,3,9,33,103,744,1.26875,21,10,-5
25,New York Jets,16,19.8,316,1013,305.7,4.8,18.1,99,226,44,5,16,31,70,560,1.29375,21,9,0
26,San Francisco 49ers,16,18.6,298,918,303.8,5.3,15.2,72,209,34,6,11,54,93,818,1.208333333,24,16,-5
27,Tennessee Titans,16,20.2,324,945,300.6,5.1,16.3,67,205,33,7,17,41,94,803,1.140972222,29,7,2
28,Houston Texans,16,16.7,267,955,279.1,4.7,17.6,77,198,39,9,13,69,90,761,1.222916667,28,12,-3
29,Tampa Bay Buccaneers,16,13.2,211,972,270.1,4.4,14.8,82,222,37,4,16,25,87,732,1.184722222,27,14,-12
30,Buffalo Bills,16,18.8,300,898,266.9,4.8,14.6,63,199,32,5,11,46,87,629,1.169444444,28,15,-5
31,Cleveland Browns,16,14.9,238,938,264.6,4.5,15.6,70,209,34,6,15,40,74,687,1.232638889,23,17,-15
32,Oakland Raiders,16,10.5,168,949,246.2,4.2,15.2,77,212,36,7,21,33,111,847,1.175694444,32,22,-23
