"","ability","s.e."
"lizard003",178.311426819347,1099525.98395543
"lizard005",292.26775891833,1003706.3383032
"lizard006",98.4527681882809,1509556.01608273
"lizard009",262.492454993661,1817506.2060229
"lizard010",218.859390765707,1157131.82414324
"lizard011",90.5957560865617,1630606.71516253
"lizard012",245.436690572231,1248248.01335461
"lizard013",217.654288719454,1118620.11297129
"lizard016",168.482410625932,869615.550840852
"lizard018",149.604957701788,1525139.79806598
"lizard020",333.918765197015,1017847.71792634
"lizard023",298.732332158874,1564113.46830611
"lizard024",186.307666646199,1738727.31496309
"lizard025",265.007625520793,1583387.90856111
"lizard026",207.654183190747,1340996.28475446
"lizard028",202.753753327256,1160145.27497715
"lizard029",226.436911450479,1277700.87491153
"lizard030",274.00278161214,1579637.96219436
"lizard031",161.901928529011,1993069.60679086
"lizard032",198.937245692005,2057445.81424653
"lizard033",272.406820890819,2071043.68756321
"lizard037",207.750021049881,1192662.30610041
"lizard038",273.354443438505,1523005.39677576
"lizard040",265.339842642237,1672327.65954275
"lizard045",228.241276567261,1091141.32401491
"lizard047",235.740756449545,1355538.48661731
"lizard048",268.535271929511,1163708.4160533
"lizard050",200.465557295229,2026154.95785564
"lizard052",226.056430897827,2032021.37824263
"lizard053",214.514031342802,1826050.46845015
"lizard055",135.926289667684,1329159.78145109
"lizard058",326.314261828184,1366072.8329941
"lizard060",136.497904636453,934857.130968746
"lizard061",150.583912500941,1270476.85961304
"lizard062",96.4802364884497,727847.710692903
"lizard063",225.744406294039,1025230.97785862
"lizard064",228.39357085936,1177041.17199398
"lizard065",291.040907627973,1387393.58612384
"lizard066",259.059571585032,1996310.22007937
"lizard069",136.0527722478,2008478.34694913
"lizard070",198.551762342924,1140634.2287834
"lizard071",268.969706120486,1387569.36539084
"lizard073",297.86174430486,2073715.28646482
"lizard074",236.316622760778,1745328.04074119
"lizard075",43.8658741155572,1236216.22307198
"lizard077",172.113350703826,1292583.87173728
"lizard078",85.0873022905656,1012109.33317519
"lizard081",199.900942902244,1021450.59061493
"lizard082",242.303029162696,1123963.59300459
"lizard083",272.138676079448,1204362.37002599
"lizard084",202.254957235739,1084603.29817418
"lizard086",268.001321099021,968548.342210695
"lizard089",192.490394275373,1151311.28081981
"lizard091",154.302302358597,1359371.18838978
"lizard096",295.53537456613,1245013.73819643
"lizard099",253.702728160147,2121650.61447652
"lizard100",220.408019260656,1553308.30743347
"lizard102",266.633171086602,1145898.25359968
"lizard105",229.708339962919,1116320.69206176
"lizard155",209.971387070456,1849299.33381858
"lizard156",156.22789099458,1374093.31821421
"lizard162",150.735441397531,2226543.30185892
"lizard163",0,0
"lizard165",198.278534806591,2043235.12774931
"lizard167",114.087917862888,1093343.55600601
"lizard170",199.027545441396,1221068.39334006
"lizard171",0,0
"lizard173",0,0
"lizard174",327.915736483807,1167764.35555133
"lizard176",253.739911439732,1377474.0388062
"lizard177",254.094031515752,1120400.53663552
"lizard178",179.874453071637,1626000.99752779
"lizard179",208.891804080174,1288091.20258417
"lizard180",255.900026759916,2004128.02026973
"lizard183",139.366709446709,2204279.71248616
"lizard188",227.973928974344,2112532.00516294
"lizard189",172.662821066101,1585952.58623248
